Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
FS,1.0,"Asbury II, Shawn SR/TR",,15.0,"Toomer, Nic RS SR/TR",,24.0,"Bonds, Bryson RS JR",,,,,,,
RCB,22.0,"Sharpe, Jamari RS SO",,3.0,"Johnson, JoJo RS JR/TR",,45.0,"Murff, Lincoln RS FR",,0.0,"Philostin, Josh FR",,,,
ST,,,,,,,,,,,,,,,
PT,94.0,"Evans, James SR",,96.0,"Quintero, Alejandro RS JR/TR",,,,,,,,,,
PK,43.0,"McCormick, Derek RS SR/TR",,96.0,"Quintero, Alejandro RS JR/TR",,39.0,"Radicic, Nicolas RS FR",,,,,,,
KO,43.0,"McCormick, Derek RS SR/TR",,96.0,"Quintero, Alejandro RS JR/TR",,39.0,"Radicic, Nicolas RS FR",,,,,,,
LS,47.0,"Langston, Mark RS SR/TR",,97.0,"Miller, Jaxon RS SO/TR",,,,,,,,,,
H,94.0,"Evans, James SR",,96.0,"Quintero, Alejandro RS JR/TR",,,,,,,,,,
PR,4.0,"Price, Myles SR/TR",,,,,,,,,,,,,
KR,5.0,"Williams, Ke'Shawn SR/TR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,55.0,"Kidwell, Nick RS SR/TR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Iowa Hawkeyes,,,,,,,,,,,,,,,
WR-X,0.0,"Buie, Jarriett RS FR",,7.0,"Howard, Dayton RS FR",,,,,,,,,,
WR-Z,3.0,"Brown, Kaleb RS SO/TR",,8.0,"Washington Jr., Terrell RS FR",,,,,,,,,,
WR-SL,6.0,"Anderson, Seth RS JR/TR",,21.0,"Wetjen, Kaden SR",,,,,,,,,,
LT,78.0,"Richman, Mason RS SR",,71.0,"Dotzler, Jack RS SO",,,,,,,,,,
LG,70.0,"Stephens, Beau RS JR",,58.0,"Pieper, Kade RS FR",,,,,,,,,,
C,65.0,"Jones, Logan RS SR",,76.0,"Elsbury, Tyler RS SR",,,,,,,,,,
RG,77.0,"Colby, Connor SR",,56.0,"DeJong, Nick GR",,,,,,,,,,
RT,67.0,"Dunker, Gennings RS JR",,59.0,"Lauck, Trevor RS FR",,,,,,,,,,
TE,85.0,"Lachey, Luke RS SR",,87.0,"Ostrenga, Addison JR",,,,,,,,,,
QB,12.0,"McNamara, Cade GR/TR",,11.0,"Lainez, Marco RS FR",,1.0,"Sullivan, Brendan RS JR/TR",,,,,,,
RB,4.0,"Williams, Leshon RS SR",,2.0,"Johnson, Kaleb JR",,28.0,"Moulton, Kamari RS FR",,,,,,,
FB,88.0,"Large, Hayden GR/TR",,31.0,"Miller, Eli RS JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,45.0,"Craig, Deontae RS SR",,48.0,"Llewellyn, Max RS JR",,44.0,"Merrieweather, Kenneth RS FR",,,,,,,
LDT,95.0,"Graves, Aaron JR",,86.0,"Bowie, Jeff RS JR",,57.0,"Hubert, Will RS SO",,,,,,,
RDT,94.0,"Black, Yahya RS SR",,55.0,"Pittman, Jeremiah RS JR",,51.0,"Gaffney, Luke RS SO",,,,,,,
RDE,49.0,"Hurkett, Ethan RS SR",,90.0,"Allen, Brian RS SO",,97.0,"Crawford, Caden RS SO",,,,,,,
WLB,10.0,"Jackson, Nick GR/TR",,43.0,"Sharar, Karson RS JR",,,,,,,,,,
MLB,34.0,"Higgins, Jay RS SR",,41.0,"Harrell, Jaden RS JR",,,,,,,,,,
CASH,29.0,"Castro, Sebastian GR",,37.0,"Fisher, Kyler GR",,12.0,"Rexroth, Jaxon RS JR",,,,,,,
LCB,7.0,"Nestor, John SO",,2.0,"Hall, TJ JR",,,,,,,,,,
SS,1.0,"Nwankpa, Xavier JR",,4.0,"Entringer, Koen RS SO",,,,,,,,,,
FS,30.0,"Schulte, Quinn GR",,6.0,"Lutmer, Zach RS FR",,,,,,,,,,
RCB,27.0,"Harris, Jermari GR",,8.0,"Lee, Deshaun RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,9.0,"Dakin, Rhys FR",,99.0,"Nissen, Ty SR/TR",,,,,,,,,,
PK,18.0,"Stevens, Drew JR",,92.0,"Woody, Tripp FR",,,,,,,,,,
KO,18.0,"Stevens, Drew JR",,92.0,"Woody, Tripp FR",,,,,,,,,,
LS,39.0,"Elkin, Luke SR",,97.0,"Speltz, Ike FR",,,,,,,,,,
H,99.0,"Nissen, Ty SR/TR",,9.0,"Dakin, Rhys FR",,,,,,,,,,
PR,21.0,"Wetjen, Kaden SR",,,,,,,,,,,,,
KR,21.0,"Wetjen, Kaden SR",,22.0,"White, Max RS JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Maryland Terrapins,,,,,,,,,,,,,,,
WR-X,1.0,"Prather, Kaden SR/TR",,4.0,"Knotts, Shaleak JR",,8.0,"White, Mekhai FR",,,,,,,
WR-Z,10.0,"Felton, Tai SR",,11.0,"Manning, Ryan RS FR",,87.0,"Smith, Robert RS JR",,,,,,,
WR-SL,5.0,"Smith Jr., Octavian JR",,19.0,"Wisloski, Braeden SO",,26.0,"Cooper Jr., Ricardo RS FR",,,,,,,
LT,55.0,"Roye Jr., Andre RS SO",,75.0,"Howerton, Ryan FR",,,,,,,,,,
LG,76.0,"Long, Kyle RS JR",,57.0,"Bunyun, Isaac RS SR",,54.0,"Duffus, Deandre RS FR",,,,,,,
C,70.0,"Kaltenberger, Josh RS SR/TR",,56.0,"Walker, Tamarus RS FR",,,,,,,,,,
RG,66.0,"Bah, Aliou RS SO/TR",,58.0,"Dumervil, Marcus RS SR/TR",,63.0,"Molloy, Billy RS FR",,,,,,,
RT,71.0,"Herron, Alan JR/TR",,77.0,"Kalonji, Kevin RS JR/TR",,73.0,"Watkins, Davon FR",,,,,,,
TE,85.0,"Howard, Preston RS SO",,0.0,"Wade, Dylan SO",,89.0,"Szymanski, AJ SO",,82.0,"Husbands, Leron RS SO",,16.0,"Haughton Jr., Leon RS SO",
QB,9.0,"Edwards Jr., Billy RS JR/TR",,7.0,"Morris, MJ RS SO/TR",,12.0,"Edge, Cameron RS SO",,14.0,"Long, Champ RS FR",,13.0,"Sauray, Jayden RS SO",
RB,24.0,"Hemby, Roman RS JR",,23.0,"McDonald, Colby SR",,25.0,"Ray, Nolan RS FR",,27.0,"Mason, Eli RS SO",,20.0,"Williams, DeJuan FR",
DEF,,,,,,,,,,,,,,,
DE,5.0,"Fuller, Quashon RS SR/TR",,39.0,"Owens, Daniel RS SO",,,,,,,,,,
NT,8.0,"Phillips, Jordan RS SO/TR",,90.0,"Johnson, Lavon SO",,99.0,"Nicolas, Dimitry FR",,,,,,,
DT,7.0,"Akingbesote, Tommy SR",,40.0,"Johnson, Taizse SR",,46.0,"Fontus, Dillan SO",,,,,,,
JACK,19.0,"Brown, Donnell SR/TR",,45.0,"Wyatt, Kellan JR",,0.0,"Avery, Neeo RS FR",,42.0,"Samuels, DJ SO",,51.0,"Gooden, Dylan RS FR",
MLB,4.0,"Hyppolite II, Ruben SR",,31.0,"Harris, Michael SO",,10.0,"Reddick, Trey FR",,,,,,,
WLB,44.0,"Wheatland, Caleb JR",,16.0,"Wingate, Daniel SO",,23.0,"Flowers, Keyshawn FR",,,,,,,
LCB,22.0,"Huskey, Jalen JR/TR",,24.0,"Harley, Chantz RS JR/TR",,32.0,"Morman, Mykel RS FR",,,,,,,
SS,1.0,"Miller, Glendon RS SR",,41.0,"Fleming, Rex RS SR",,18.0,"Moore, Alex RS FR",,,,,,,
FS,12.0,"Trader Jr., Dante SR",,34.0,"Scruggs, Lavain RS SO",,,,,,,,,,
RCB,25.0,"Thomas, Kevis SO",,17.0,"Whitaker, Lionell JR",,14.0,"Akins, Jonathan RS FR",,,,,,,
NB,20.0,"Fisher, Perry RS SO",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,34.0,"McFerson, Bryce RS SO/TR",,43.0,"Segovia, Brenden RS JR",,84.0,"Noyes, Philip FR",,,,,,,
PK,91.0,"Howes, Jack RS JR",,46.0,"Marshall, Gavin RS SO/TR",,98.0,"Capriotti, Ryan RS FR/TR",,,,,,,
KO,91.0,"Howes, Jack RS JR",,46.0,"Marshall, Gavin RS SO/TR",,98.0,"Capriotti, Ryan RS FR/TR",,,,,,,
LS,59.0,"Gough, Ethan RS JR",,53.0,"McConnell, Kellen FR",,,,,,,,,,
H,34.0,"McFerson, Bryce RS SO/TR",,43.0,"Segovia, Brenden RS JR",,84.0,"Noyes, Philip FR",,,,,,,
PR,19.0,"Wisloski, Braeden SO",,5.0,"Smith Jr., Octavian JR",,83.0,"Smith, Emerson FR",,,,,,,
KR,19.0,"Wisloski, Braeden SO",,5.0,"Smith Jr., Octavian JR",,24.0,"Hemby, Roman RS JR",,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,74.0,"Wright, Isaiah RS JR/TR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Michigan Wolverines,,,,,,,,,,,,,,,
WR-X,3.0,"Moore, Fredrick SO",,1.0,"Walker, Amorion JR",,81.0,"O'Leary, Peyton RS JR",,,,,,,
WR-Z,8.0,"Morris, Tyler JR",,5.0,"Charleston, C.J. RS SR/TR",,84.0,"Chesson, Dale GR/TR",,,,,,,
WR-SL,0.0,"Morgan, Semaj SO",,82.0,"Stewart, I'Marion FR",,12.0,"Bell, Kendrick RS FR",,,,,,,
LT,78.0,"Hinton, Myles SR/TR",,71.0,"Link, Evan RS FR",,76.0,"Jones, Connor RS SO",,,,,,,
LG,68.0,"Priebe, Josh GR/TR",,56.0,"Giudice, Dominick RS JR",,50.0,"Hamilton, Luke FR",,,,,,,
C,51.0,"Crippen, Greg RS JR",,62.0,"Anderson, Raheem RS JR",,53.0,"Guarnera, Jake FR",,,,,,,
RG,58.0,"El-Hadi, Giovanni RS JR",,55.0,"Efobi, Nathan RS FR",,,,,,,,,,
RT,75.0,"Gentry, Andrew RS SO",,79.0,"Persi, Jeffrey SR",,72.0,"Bounds, Tristan RS JR",,,,,,,
TE-Y,18.0,"Loveland, Colston JR",,83.0,"Marshall, Zack RS FR",,86.0,"Prieskorn, Brady FR",,,,,,,
TE-H,17.0,"Klein, Marlin RS SO",,43.0,"Tonielli, Deakon RS FR",,80.0,"Hansen, Hogan FR",,,,,,,
QB,10.0,"Orji, Alex RS SO",,13.0,"Tuttle, Jack GR/TR",,16.0,"Warren, Davis RS JR",,4.0,"Denegal, Jayden RS SO",,,,
RB,7.0,"Edwards, Donovan SR",,20.0,"Mullings, Kalel RS SR",,28.0,"Hall, Benjamin RS FR",,34.0,"Franklin, Leon GR",,22.0,"Dunlap, Tavierre RS JR",
FB,44.0,"Bredeson, Max RS JR",,46.0,"Mann, Brandon RS SO",,42.0,"Hoffman, Jalen RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,26.0,"Benny, Rayshaun RS JR",,17.0,"Etta, Enow RS FR",,91.0,"Brandt, Cameron SO",,,,,,,
NT,78.0,"Grant, Kenneth JR",,92.0,"Iwunnah, Ike RS JR",,89.0,"Lorenzetti, Alessandro RS SO",,,,,,,
DT,55.0,"Graham, Mason JR",,95.0,"Pierce, Trey SO",,,,,,,,,,
LOLB,0.0,"Stewart, Josaiah SR/TR",,42.0,"Guy, TJ RS JR",,52.0,"Bennett, Kechaun RS JR",,,,,,,
MLB,1.0,"Barham, Jaishawn JR/TR",,30.0,"Rolder, Jimmy JR",,40.0,"Boivin, Christian RS JR",,,,,,,
WLB,15.0,"Hausmann, Ernest JR/TR",,34.0,"Hood, Jaydon RS JR",,19.0,"Hewlett, Jason RS FR",,,,,,,
ROLB,8.0,"Moore, Derrick JR",,58.0,"Ishmail, Breeon RS FR",,90.0,"Koumba, Aymeric RS FR",,,,,,,
LCB,20.0,"Hill, Jyaire RS FR",,12.0,"Hall, Aamir RS SR/TR",,24.0,"Pollard, Myles RS SO",,,,,,,
SS,7.0,"Paige, Makari SR",,13.0,"Walker, Wesley RS SR/TR",,6.0,"Hillman, Brandyn SO",,,,,,,
FS,28.0,"Johnson, Quinten GR",,3.0,"Mangham, Jaden JR/TR",,,,,,,,,,
RCB,2.0,"Johnson, Will JR",,22.0,"Johnson, Ricky RS SR/TR",,36.0,"Harris, Keshaun GR",,,,,,,
NB,18.0,"McBurrows, Ja'Den RS JR",,10.0,"Berry, Zeke RS SO",,14.0,"Jones, Kody RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,19.0,"Doman, Tommy SR",,93.0,"Mentzer, Charlie RS SO",,92.0,"Anderson, Stone RS FR",,,,,,,
PK,96.0,"Zvada, Dominic JR/TR",,99.0,"Samaha, Adam RS FR",,90.0,"Hollenbeck, Hudson RS SO/TR",,,,,,,
KO,19.0,"Doman, Tommy SR",,96.0,"Zvada, Dominic JR/TR",,,,,,,,,,
LS,49.0,"Wagner, William SR",,45.0,"Tarr, Greg RS SR",,91.0,"Boutorwick, Evan RS SO",,,,,,,
H,19.0,"Doman, Tommy SR",,93.0,"Mentzer, Charlie RS SO",,92.0,"Anderson, Stone RS FR",,,,,,,
PR,0.0,"Morgan, Semaj SO",,8.0,"Morris, Tyler JR",,,,,,,,,,
KR,0.0,"Morgan, Semaj SO",,8.0,"Morris, Tyler JR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,9.0,"Moore, Rod SR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Michigan State Spartans,,,,,,,,,,,,,,,
WR-X,4.0,"Glover, Jaron RS SO",,1.0,"Gates Jr., Antonio RS SO",,,,,,,,,,
WR-Z,3.0,"Foster Jr., Montorie RS SR",,6.0,"Marsh, Nick FR",,,,,,,,,,
WR-F,0.0,"Brown, Alante RS SR/TR",,11.0,"Johnson, Aziah RS FR",,,,,,,,,,
LT,53.0,"Baldwin, Brandon RS SR/TR",,69.0,"Merritt, Jacob RS SO",,,,,,,,,,
LG,70.0,"Newman, Luke RS SR/TR",,56.0,"Dellinger, Cole RS FR",,,,,,,,,,
C,61.0,"Miller, Tanner RS SR/TR",,72.0,"Fincher, Dallas RS SR",,,,,,,,,,
RG,71.0,"Phillips, Kristian RS SO",,68.0,"Broscious, Gavin RS SO",,,,,,,,,,
RT,66.0,"Lepo, Ashton RS SO",,65.0,"Ramil, Stanton RS FR",,,,,,,,,,
TE,12.0,"Velling, Jack JR/TR",,82.0,"Parachek, Brennan SO",,88.0,"Hopper, Tyneil GR/TR",,13.0,"Faleye, Ademola RS JR/TR",,81.0,"Masunas, Michael RS SO",
QB,2.0,"Chiles, Aidan SO/TR",,10.0,"Schuster, Tommy RS SR/TR",,14.0,"Milivojevic, Alessio FR",,16.0,"Jessee, Ryland FR",,18.0,"Carridine, Atticus RS FR",
RB,5.0,"Carter, Nate RS JR/TR",,15.0,"Lynch-Adams, Kay'ron RS SR/TR",,28.0,"Tullis, Brandon FR",,27.0,"Frazier, Makhi FR",,25.0,"Martinez, Joseph RS SR",
DEF,,,,,,,,,,,,,,,
LDE,99.0,"Dunnigan, Quindarius RS SR/TR",,9.0,"Thompson, Jalen SO",,8.0,"Jones, Anthony RS SO/TR",,98.0,"Dunn, Avery RS SR",,,,
LDT,97.0,"Hansen, Maverick RS SR",,55.0,"Roberts, Ben RS SO/TR",,88.0,"Buckley, Ru'Quan RS JR/TR",,75.0,"Nelson, Ben RS SO",,,,
RDT,94.0,"Douse, D'Quan RS SR/TR",,93.0,"Satchell, Jalen RS JR/TR",,91.0,"VanSumeren, Alex RS SO",,,,,,,
RDE,2.0,"Bogle, Khris RS SR/TR",,11.0,"Talley, Ken RS SO/TR",,22.0,"Gillison, Tyler RS SO/TR",,32.0,"Schott, James RS SO",,,,
WLB,10.0,"Matthews III, Wayne RS JR/TR",,23.0,"Snow, Darius RS JR",,17.0,"Bridgeman, Semaj RS FR/TR",,,,,,,
MLB,7.0,"Turner, Jordan RS SR/TR",,27.0,"Haladay, Cal RS SR",,33.0,"Alexander, Aaron RS SO/TR",,,,,,,
SLB,5.0,"Hall, Jordan SO",,44.0,"Pulliam, Marcellius SO/TR",,,,,,,,,,
LCB,25.0,"Rucker, Chance SO",,3.0,"Hughes, Jeremiah SO/TR",,6.0,"Willie, Ade JR",,,,,,,
SS,19.0,"Smith, Armorion RS JR/TR",,34.0,"Majeed, Khalil RS JR",,36.0,"Lewis, Brandon RS FR",,,,,,,
FS,21.0,"Tatum, Dillon JR",,15.0,"Grose, Angelo RS SR",,,,,,,,,,
RCB,4.0,"Woods, Ed RS SR/TR",,0.0,"Brantley, Charles RS JR",,14.0,"Cavazos, Lejond RS SR/TR",,,,,,,
NB,43.0,"Spencer, Malik JR",,13.0,"Coley, Caleb RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,96.0,"Eckley, Ryan RS SO",,48.0,"Voss, Carson RS JR/TR",,,,,,,,,,
PK,97.0,"Kim, Jonathan RS SR/TR",,29.0,"Connington, Martin FR",,40.0,"Ahmetbasic, Tarik RS FR",,,,,,,
KO,97.0,"Kim, Jonathan RS SR/TR",,29.0,"Connington, Martin FR",,40.0,"Ahmetbasic, Tarik RS FR",,,,,,,
LS,47.0,"Schickel, Kaden RS JR/TR",,83.0,"Carson Wentz, Jack RS SO/TR",,,,,,,,,,
H,96.0,"Eckley, Ryan RS SO",,48.0,"Voss, Carson RS JR/TR",,,,,,,,,,
PR,0.0,"Brown, Alante RS SR/TR",,,,,,,,,,,,,
KR,0.0,"Brown, Alante RS SR/TR",,3.0,"Foster Jr., Montorie RS SR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Minnesota Golden Gophers,,,,,,,,,,,,,,,
WR-X,11.0,"Spencer, Elijah SR/TR",,7.0,"Williams, Tyler RS FR/TR",,5.0,"McWilliams, T.J. RS FR",,,,,,,
WR-Z,0.0,"Brockington, Le'Meke RS JR",,15.0,"Lanier II, Kenric RS FR",,18.0,"Hayes, Donielle RS FR",,,,,,,
WR-SL,9.0,"Jackson, Daniel RS SR",,4.0,"Driver, Cristian RS SO/TR",,13.0,"Hoskins, Kristen RS SO",,81.0,"Redding, Quentin RS JR",,,,
LT,69.0,"Ersery, Aireontae RS SR",,71.0,"Lewis, Martes RS SR",,50.0,"Roy, Nathan FR",,,,,,,
LG,75.0,"Cooper, Tyler RS SR",,59.0,"Nelson, Tony RS SO",,58.0,"Hunter, Jackson RS JR",,,,,,,
C,65.0,"Johnson, Greg SO",,78.0,"Beers, Ashton RS SO",,56.0,"Carroll, Brett FR",,,,,,,
RG,77.0,"Carroll, Quinn GR/TR",,76.0,"Tripp, Reese RS FR",,55.0,"Williams, Jerome RS FR",,,,,,,
RT,60.0,"Daniels, Phillip RS FR",,70.0,"Nkele, Aluma RS JR/TR",,52.0,"Alvarez, Spencer RS SO",,,,,,,
TE,87.0,"Kallerup, Nick RS SR",,86.0,"Geers, Jameson RS JR",,19.0,"Walsh, Pierce RS FR",,89.0,"Jones, Nathan RS SO",,83.0,"Peters, Sam RS FR",
QB,16.0,"Brosmer, Max GR/TR",,3.0,"Lindsey, Drake FR",,14.0,"Wittke, Dylan RS FR/TR",,6.0,"Shikenjanski, Max RS FR",,,,
RB,1.0,"Taylor, Darius SO",,2.0,"Bangura, Sieh RS JR/TR",,24.0,"Major, Marcus GR/TR",,27.0,"Nubin, Jordan RS JR",,8.0,"Mangham, Jaren RS SR/TR",
DEF,,,,,,,,,,,,,,,
DE,17.0,"Joyner, Jah RS SR",,0.0,"Smith, Anthony RS SO",,98.0,"Kissayi, Adam RS FR/TR",,,,,,,
NT,91.0,"Eastern, Deven RS JR",,96.0,"Richter, Logan RS SR",,99.0,"Randle, Theorin RS FR",,52.0,"McCoy, Luther RS JR",,,,
DT,97.0,"Logan-Redding, Jalen RS SR",,8.0,"Jefferies, Darnell GR/TR",,89.0,"Becker, Nate RS JR",,,,,,,
RUSH,92.0,"Striggow, Danny RS SR",,1.0,"Howard, Jaxon RS FR/TR",,46.0,"Finnessy, Lucas RS SR",,11.0,"Menz, Karter RS FR",,,,
WLB,45.0,"Lindenberg, Cody RS SR",,44.0,"Stolsky, Tyler RS SO",,35.0,"LeCaptain, Derik RS SR",,,,,,,
MLB,6.0,"Baranowski, Maverick RS SO",,9.0,"Williams, Devon RS JR",,49.0,"Kingsbury, Matt RS FR",,,,,,,
SLB,19.0,"Gerlach, Joey RS SO",,43.0,"Mau, Eli RS JR",,32.0,"Elliott, Alex RS FR",,,,,,,
LCB,5.0,"Walley, Justin SR",,18.0,"Kelly, Rhyland RS SO",,22.0,"Redding, Evan RS SO",,,,,,,
SS,7.0,"Gousby, Aidan RS SO",,12.0,"Green, Darius RS JR",,23.0,"Monroe, Garrison RS FR",,,,,,,
FS,16.0,"Bryson, Coleman RS SO",,14.0,"Brown, Kerry RS FR",,3.0,"Perich, Koi FR",,,,,,,
RCB,2.0,"Robinson, Ethan SR/TR",,4.0,"Bryan, Za'Quan RS FR",,13.0,"Gerald, Mike FR",,,,,,,
NB,20.0,"Henderson, Jack RS SR/TR",,21.0,"McDonald, Craig RS SR/TR",,24.0,"McMillan, Jai'Onte' RS SR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,96.0,"Crawford, Mark RS SR",,95.0,"McGrath, Caleb RS FR",,,,,,,,,,
PK,99.0,"Kesich, Dragan RS SR",,98.0,"Kemp, David RS JR/TR",,30.0,"Henson, Sam GR/TR",,,,,,,
KO,99.0,"Kesich, Dragan RS SR",,98.0,"Kemp, David RS JR/TR",,30.0,"Henson, Sam GR/TR",,,,,,,
LS,38.0,"Algrim, Ryan RS FR",,,,,,,,,,,,,
H,96.0,"Crawford, Mark RS SR",,95.0,"McGrath, Caleb RS FR",,,,,,,,,,
PR,81.0,"Redding, Quentin RS JR",,,,,,,,,,,,,
KR,81.0,"Redding, Quentin RS JR",,22.0,"Redding, Evan RS SO",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nebraska Cornhuskers,,,,,,,,,,,,,,,
WR-X,80.0,"Banks, Jahmal SR/TR",,17.0,"Barney Jr., Jacory FR",,16.0,"Bonner, Janiran RS SO",,,,,,,
WR-Z,18.0,"Neyor, Isaiah RS SR/TR",,15.0,"Coleman, Malachi SO",,11.0,"Bell, Demitrius RS FR",,,,,,,
WR-SL,19.0,"Lloyd, Jaylen SO",,13.0,"Garcia-Castaneda, Isaiah RS SR/TR",,84.0,"Bullock, Alex RS JR",,,,,,,
LT,69.0,"Corcoran, Turner SR",,77.0,"Gottula, Gunnar RS FR",,63.0,"Brix, Grant FR",,,,,,,
LG,51.0,"Evans, Justin RS SO",,62.0,"Sledge, Sam RS FR",,,,,,,,,,
C,66.0,"Scott, Ben RS SR/TR",,51.0,"Evans, Justin RS SO",,,,,,,,,,
RG,56.0,"Mazzccua, Micah SR/TR",,59.0,"Lutovsky, Henry RS JR",,,,,,,,,,
RT,54.0,"Benhart, Bryce RS SR",,75.0,"Knaak, Tyler RS SO/TR",,71.0,"Hood, Jacob RS SO/TR",,,,,,,
TE,24.0,"Fidone II, Thomas RS JR",,87.0,"Boerkircher, Nate RS JR",,44.0,"Lindenmeyer, Luke RS SO",,29.0,"Nelson, Carter FR",,,,
QB,15.0,"Raiola, Dylan FR",,10.0,"Haarberg, Heinrich RS JR",,12.0,"Kaelin, Daniel FR",,19.0,"Gramstad, Jalyn SR/TR",,17.0,"Longval, Luke RS SO/TR",
RB,21.0,"Johnson, Emmett RS SO",,22.0,"Ervin Jr., Gabe RS JR",,23.0,"Dowdell, Dante SO/TR",,14.0,"Johnson, Rahmir RS SR",,28.0,"Ives, Kwinten RS FR",
FB,34.0,"Liebentritt, Barret RS JR/TR",,40.0,"Ruth, Trevor RS SO/TR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,10.0,"Butler, Jimari RS JR",,16.0,"Jeudy, Elijah RS JR/TR",,93.0,"Wallin, Kai RS SO/TR",,87.0,"Tagaloa, Brodie RS SO",,,,
NT,0.0,"Hutmacher, Nash SR",,44.0,"Van Poppel, Riley SO",,92.0,"Lefotu, Sua RS FR",,55.0,"Jackson, Vincent RS FR",,,,
DT,9.0,"Robinson, Ty RS SR",,11.0,"Lenhardt, Cameron SO",,90.0,"Williams, James RS SO/TR",,,,,,,
JACK,18.0,"Umanmielen, Princewill SO",,48.0,"Sherman, MJ SR/TR",,22.0,"Noonan, Maverick RS FR",,,,,,,
MLB,42.0,"Gbayor, Mikai RS JR",,33.0,"Wright, Javin RS SR",,17.0,"McGahee IV, Willis FR",,,,,,,
WLB,5.0,"Bullock, John RS SR",,56.0,"Thompson, Stefon RS JR/TR",,51.0,"Shavers Jr., Vincent FR",,,,,,,
LCB,31.0,"Hill, Tommi SR/TR",,23.0,"Hill, Blye SO/TR",,21.0,"Bootle II, Dwight RS FR",,14.0,"Sanders, Amare FR",,,,
SS,8.0,"Singleton, DeShon SR/TR",,26.0,"Bretz, Koby RS JR",,28.0,"Benning, Caleb FR",,,,,,,
FS,13.0,"Hartzog Jr., Malcolm JR",,35.0,"Barnes, D'Andre RS FR",,37.0,"Jones, Donovan FR",,,,,,,
RCB,24.0,"Buford Jr., Marques RS JR",,15.0,"Wright, Ceyair RS JR/TR",,25.0,"Charles, Jeremiah RS FR",,,,,,,
ROVER,2.0,"Gifford, Isaac SR",,32.0,"Prude, Braylen FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,18.0,"Buschini, Brian SR/TR",,37.0,"Koch, Kamdyn FR",,,,,,,,,,
PK,30.0,"Alvano, Tristan SO",,91.0,"Ottomanelli, Nico FR",,90.0,"Hohl, John RS FR/TR",,,,,,,
KO,30.0,"Alvano, Tristan SO",,91.0,"Ottomanelli, Nico FR",,90.0,"Hohl, John RS FR/TR",,,,,,,
LS,96.0,"Witucki, Camden RS JR",,94.0,"Flege, Aidan JR/TR",,,,,,,,,,
H,18.0,"Buschini, Brian SR/TR",,37.0,"Koch, Kamdyn FR",,,,,,,,,,
PR,84.0,"Bullock, Alex RS JR",,,,,,,,,,,,,
KR,31.0,"Hill, Tommi SR/TR",,14.0,"Johnson, Rahmir RS SR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,65.0,"Prochazka, Teddy RS JR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Northwestern Wildcats,,,,,,,,,,,,,,,
WR-X,17.0,"Kirtz, Bryce GR",,16.0,"Covey IV, Frank RS FR",,10.0,"Ahumaraeze, Ricky RS FR",,,,,,,
WR-Z,8.0,"Henning, A.J. GR/TR",,19.0,"Fleurima, Reggie RS SO",,80.0,"Eligon II, Hayden FR",,,,,,,
WR-SL,7.0,"Johnson II, Calvin RS JR",,11.0,"Gray, Donnie RS JR",,33.0,"Grove, Carson FR",,,,,,,
LT,72.0,"Tiernan, Caleb RS JR",,70.0,"Lovelace, Cooper RS SR/TR",,66.0,"Edwards, Braeden RS JR",,,,,,,
LG,75.0,"Knox, Jordan SO",,64.0,"Birsa, Anthony RS FR",,74.0,"Herzog, Nick RS SO",,,,,,,
C,69.0,"Bailey, Jack GR/TR",,65.0,"Carsello, Jackson RS JR",,,,,,,,,,
